Task ID,开发波次,波次定位,模块,开发内容,标准化任务类型,任务成熟度,执行策略,执行人/跟进人,确认人,目标完成时间,交付物/产出预期,验收标准/回执要求,计划周次/预计完成,依赖/阻塞/需澄清,备注/整改建议,截图来源,是否进入当前开发
T001,Wave 1｜A/C主流程 + SF/PMS/SO/KE30数据底座,模块A直接依赖：合同关联报价/项目，需优先导入并打通前后端,底层数据维护,Salesforce ETL,数据/ETL,关闭,【建议】作为模块A合同关联报价/项目的最小数据底座，优先完成入库、映射、前端联调和验收证据。,Gu,Gu,,数据脚本,本地脚本可跑通,【建议】W1：补齐GitHub版本、测试截图、样本回执后关闭。,,,截图1,是｜当前开发主线
T002,Wave 1｜A/C主流程 + SF/PMS/SO/KE30数据底座,模块A直接依赖：合同关联报价/项目，需优先导入并打通前后端,底层数据维护,Salesforce 客户主数据对齐，缺 Guodong补充 - Lulu,数据对齐,开发中,【建议】作为模块A合同关联报价/项目的最小数据底座，优先完成入库、映射、前端联调和验收证据。,Junhe,Gu,8-Jun,数据脚本,本地脚本可跑通,【建议】W1：补齐GitHub版本、测试截图、样本回执后关闭。,,,截图1,是｜当前开发主线
T003,Wave 1｜A/C主流程 + SF/PMS/SO/KE30数据底座,模块A直接依赖：合同关联报价/项目，需优先导入并打通前后端,底层数据维护,Salesforce 产品主数据对齐，缺一部分需要特殊处理的产品识别脚本 - Junhe,数据对齐/脚本,开发中,【建议】作为模块A合同关联报价/项目的最小数据底座，优先完成入库、映射、前端联调和验收证据。,Junhe,Gu,8-Jun,数据脚本,本地脚本可跑通,【建议】W1-W2：进入第一轮开发/澄清清单；先补规则、样本和验收口径，再开发。,,,截图1,是｜当前开发主线
T004,Wave 1｜A/C主流程 + SF/PMS/SO/KE30数据底座,模块A直接依赖：合同关联报价/项目，需优先导入并打通前后端,底层数据维护,Salesforce 一次性入OTP数据库 + 前端联调,数据入库/联调,开发中,【建议】作为模块A合同关联报价/项目的最小数据底座，优先完成入库、映射、前端联调和验收证据。,Junhe,AM代表,12-Jun,前端联调截图,真实数据可调用，无bug,【建议】W1：作为实习生+Claude Code主线跟踪，明确每日阻塞与预计完成日。,,,截图1,是｜当前开发主线
T005,Wave 4｜日常运维,日常运维需要，非优先级,底层数据维护,Salesforce 页面增删改查,前端/CRUD,开口项,【建议】作为模块A合同关联报价/项目的最小数据底座，优先完成入库、映射、前端联调和验收证据。,Junhe,SCP代表,,前端联调截图,真实数据可调用，无bug,,【建议】依赖客户/产品/PID映射、特殊产品识别规则、前端调用字段。,,截图1,是｜当前开发主线
T006,Wave 4｜日常运维,日常运维需要，非优先级,底层数据维护,Salesforce 更新机制（全量）,数据更新机制,开口项,【建议】作为模块A合同关联报价/项目的最小数据底座，优先完成入库、映射、前端联调和验收证据。,Junhe,Gu,,数据脚本,本地脚本可跑通,,【建议】依赖客户/产品/PID映射、特殊产品识别规则、前端调用字段。,,截图1,是｜当前开发主线
T007,Wave 1｜A/C主流程 + SF/PMS/SO/KE30数据底座,模块A直接依赖：合同关联报价/项目，需优先导入并打通前后端,底层数据维护,PMS ETL,数据/ETL,关闭,【建议】作为模块A合同关联报价/项目的最小数据底座，优先完成入库、映射、前端联调和验收证据。,Gu,Gu,,数据脚本,本地脚本可跑通,【建议】W1：补齐GitHub版本、测试截图、样本回执后关闭。,,,截图1,是｜当前开发主线
T008,Wave 1｜A/C主流程 + SF/PMS/SO/KE30数据底座,模块A直接依赖：合同关联报价/项目，需优先导入并打通前后端,底层数据维护,PMS 产品主数据对齐,数据对齐,开发中,【建议】作为模块A合同关联报价/项目的最小数据底座，优先完成入库、映射、前端联调和验收证据。,Junhe,Gu,8-Jun,数据脚本,本地脚本可跑通,【建议】W1：补齐GitHub版本、测试截图、样本回执后关闭。,,,截图1,是｜当前开发主线
T009,Wave 1｜A/C主流程 + SF/PMS/SO/KE30数据底座,模块A直接依赖：合同关联报价/项目，需优先导入并打通前后端,底层数据维护,PMS 一次性入库 + 前端联调,数据入库/联调,开发中,【建议】作为模块A合同关联报价/项目的最小数据底座，优先完成入库、映射、前端联调和验收证据。,Junhe,AM代表,12-Jun,前端联调截图,真实数据可调用，无bug,【建议】W1：作为实习生+Claude Code主线跟踪，明确每日阻塞与预计完成日。,,,截图1,是｜当前开发主线
T010,Wave 4｜日常运维,日常运维需要，非优先级,底层数据维护,PMS 页面增删改查,前端/CRUD,开口项,【建议】作为模块A合同关联报价/项目的最小数据底座，优先完成入库、映射、前端联调和验收证据。,Junhe,SCP代表,,前端联调截图,真实数据可调用，无bug,,【建议】依赖客户/产品/PID映射、特殊产品识别规则、前端调用字段。,,截图1,否｜后置Wave4
