Task ID,????,????,??,????,???????,?????,????,???/???,???,??????,???/????,????/????,????/????,??/??/???,??/????,????,????????
T001,Wave 1?A/C??? + SF/PMS/SO/KE30????,??A???????????/??????????????,??????,Salesforce ETL,??/ETL,??,????????A??????/??????????????????????????????,Gu,Gu,,????,???????,????W1???GitHub????????????????,,,??1,????????
T002,Wave 1?A/C??? + SF/PMS/SO/KE30????,??A???????????/??????????????,??????,Salesforce ????????? Guodong?? - Lulu,????,???,????????A??????/??????????????????????????????,Junhe,Gu,8-Jun,????,???????,????W1???GitHub????????????????,,,??1,????????
T003,Wave 1?A/C??? + SF/PMS/SO/KE30????,??A???????????/??????????????,??????,Salesforce ????????????????????????? - Junhe,????/??,???,????????A??????/??????????????????????????????,Junhe,Gu,8-Jun,????,???????,????W1-W2????????/??????????????????????,,,??1,????????
T004,Wave 1?A/C??? + SF/PMS/SO/KE30????,??A???????????/??????????????,??????,Salesforce ????OTP??? + ????,????/??,???,????????A??????/??????????????????????????????,Junhe,AM??,12-Jun,??????,?????????bug,????W1??????+Claude Code??????????????????,,,??1,????????
T005,Wave 4?????,???????????,??????,Salesforce ??????,??/CRUD,???,????????A??????/??????????????????????????????,Junhe,SCP??,,??????,?????????bug,,????????/??/PID???????????????????,,??1,????????
T006,Wave 4?????,???????????,??????,Salesforce ????????,??????,???,????????A??????/??????????????????????????????,Junhe,Gu,,????,???????,,????????/??/PID???????????????????,,??1,????????
T007,Wave 1?A/C??? + SF/PMS/SO/KE30????,??A???????????/??????????????,??????,PMS ETL,??/ETL,??,????????A??????/??????????????????????????????,Gu,Gu,,????,???????,????W1???GitHub????????????????,,,??1,????????
T008,Wave 1?A/C??? + SF/PMS/SO/KE30????,??A???????????/??????????????,??????,PMS ???????,????,???,????????A??????/??????????????????????????????,Junhe,Gu,8-Jun,????,???????,????W1???GitHub????????????????,,,??1,????????
T009,Wave 1?A/C??? + SF/PMS/SO/KE30????,??A???????????/??????????????,??????,PMS ????? + ????,????/??,???,????????A??????/??????????????????????????????,Junhe,AM??,12-Jun,??????,?????????bug,????W1??????+Claude Code??????????????????,,,??1,????????
T010,Wave 4?????,???????????,??????,PMS ??????,??/CRUD,???,????????A??????/??????????????????????????????,Junhe,SCP??,,??????,?????????bug,,????????/??/PID???????????????????,,??1,????Wave4
